PROJECT_ID,PACKAGE_TYPE,PACKAGE_SUBTYPE,PACKAGE,CBS_NAME,CBS_PATHID,CBS_STATUS,WPI_NUMBER,PO,COMMITMENT_ID,COMMITMENTS_AMT,ACTUALS_AMT,INCURRED_AMT,LAST_MONTH_INCURRED_AMT,INCURRED_TO_DATE,PRELIM_INCURRED_TO_DATE,DIFF_INCURRED_COMMITMENTS,DIFF_INCURRED_ACTUALS,CURRENT_MONTH_FORECAST,IDENTIFIERS
PRJ-001015,S,SG,SG6702,Steel Shipping Containers - FREIGHT CAIM0824120,PRJ-001015|40|6|0|0|0|SG6702|1300686302,3. Active - PO,,1300686302,1300686302,113417.00000,113647.00000,113647.00000,0.00000,0.00000,113647.00000,230.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,Freight CAIM0839644,PRJ-001015|40|6|0|0|0|SG6702|1300689067,3. Active - PO,,1300689067,1300689067,32094.00000,32128.00000,32128.00000,0.00000,0.00000,32128.00000,34.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,Freight CAIM0839656,PRJ-001015|40|6|0|0|0|SG6702|1300689068,3. Active - PO,,1300689068,1300689068,12661.00000,12674.00000,12674.00000,0.00000,0.00000,12674.00000,13.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,Ocean Freight CAIM0838812,PRJ-001015|40|6|0|0|0|SG6702|1300689374,3. Active - PO,,1300689374,1300689374,114038.00000,114455.00000,114455.00000,0.00000,0.00000,114455.00000,417.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,BBC Chartering Carriers GmbH - Freight for Jansen,PRJ-001015|40|6|0|0|0|SG6702|1300692009,3. Active - PO,,1300692009,1300692009,500683.00000,642086.00000,642086.00000,0.00000,0.00000,642086.00000,141403.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,FREIGHT CAIM0855444,PRJ-001015|40|6|0|0|0|SG6702|1300694623,3. Active - PO,,1300694623,1300694623,32274.00000,32328.00000,32328.00000,0.00000,0.00000,32328.00000,54.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,FREIGHT CAIM0860298,PRJ-001015|40|6|0|0|0|SG6702|1300694624,3. Active - PO,,1300694624,1300694624,115493.00000,115685.00000,115685.00000,0.00000,0.00000,115685.00000,192.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,FREIGHT CAIM0860299,PRJ-001015|40|6|0|0|0|SG6702|1300694625,3. Active - PO,,1300694625,1300694625,23099.00000,23137.00000,23137.00000,0.00000,0.00000,23137.00000,38.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,FREIGHT CAIM0862925,PRJ-001015|40|6|0|0|0|SG6702|1300694626,3. Active - PO,,1300694626,1300694626,2224.00000,2227.00000,2227.00000,0.00000,0.00000,2227.00000,3.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
PRJ-001015,S,SG,SG6702,FREIGHT CAIM0867232,PRJ-001015|40|6|0|0|0|SG6702|1300696433,3. Active - PO,,1300696433,1300696433,136999.00000,137724.00000,137724.00000,0.00000,0.00000,137724.00000,725.00000,0.00000,0.00000,"Actuals > Commitment, Incurred to Date = Actuals"
